A,B,B_val,C,D,E
960.21,1524.9,1524.9,4.554,135.73,215.23
957.66,,1692.4,4.338,131.59,463.62
1125.7,5579.2,5579.2,5.3446,159.03,5557.7
1251.1,,12250,5.541,184.68,11186
1283.2,13473,13473,5.233,260.31,11441
1284.2,,12851,4.17,296.49,10922
1160.4,11153,11153,4.109,230.61,8729.5
1062.1,7699.5,7699.5,4.026,186.27,5817.9
978.11,5642.1,5642.1,5.518,155.22,3812.9
930.84,3582.4,3582.4,13.103,139.37,2101.9
898.37,,2720.5,8.323,127.59,1391.6
876.46,2350.6,2350.6,7.84,123.44,1120.9
872.27,,2243.9,6.543,120.47,1057.2
905.6,2249.3,2249.3,11.484,117.35,994.36
920.69,2193.2,2193.2,7.253,115.83,1032
892.1,,2553.3,7.302,112.78,1494.8
878.59,,4018.1,9.9549,115.45,3103.6
929.46,5296.2,5296.2,6.813,115.66,4073.5
1107.7,5961.4,5961.4,6.038,115.4,4665.8
1172.6,6540.8,6540.8,4.979,122.65,4972
1069,5569.8,5569.8,4.894,129.2,3778.9
963.87,4970.6,4970.6,3.937,138.4,3865.8
893.53,,6925.9,3.645,178.19,6096.4
857.61,9519.4,9519.4,7.8346,195.5,8414.2
833.75,9969.5,9969.5,2.613,176.73,8487.9
874.58,8716.7,8716.7,3.029,160.82,7080.5
964.3,7306.1,7306.1,2.849,173.93,6022.8
1116.9,9072.6,9072.6,2.8469,181.57,8210.9
1301.1,16072,16072,2.7995,209.11,18092
1348,37743,37743,2.9488,225.66,37443
1447.4,48051,48051,8.7,209.54,45847
1690.2,47000,47000,11.214,209.47,45285
1835.7,48922,48922,12.25,258.06,45276
2576.5,51338,51338,254.6,549.43,51223
4593.8,73151,73151,250.6,820.65,69456
5925.1,84039,84039,230.87,739.35,74664
5491.7,,76991,312.95,543.13,68043
4752,67657,67657,258.06,413.08,58482
4207.9,60869,60869,363.68,426.7,56743
3849,70718,70718,357.15,727.41,64771
3359.3,65292,65292,296.79,925.48,54878
2754,43752,43752,246.91,897.68,35620
2461.1,30658,30658,214.93,883.4,23106
2357.5,,20259,226.42,847.48,13924
2457,,15602,178.19,840.16,9672.3
3289.7,,15399,878.88,911.9,9023.5
5992.8,25484,25484,1796,1373.8,15976
8752,39103,39103,1245.5,1668.8,23130
10169,42373,42373,950.15,1586.7,21623
10834,37763,37763,767.89,1626.1,15788
10389,31242,31242,688.28,1630.8,9842.9
9732.1,26637,26637,525.31,1684.8,6598.9
9312.4,24277,24277,326.27,1765.8,5170.2
9092.8,,23607,302.02,1834.1,5063.3
9004.3,23779,23779,243.24,1891.8,5555.4
9569.6,,28497,189.5,2141.8,10248
10852,,41242,189.5,2382.7,23410
12115,68536,68536,643.6,2741,50039
12753,103120,103120,846.93,3277.6,81239
12684,,120920,590.32,3672.3,91648
13465,112500,112500,424.72,4160.8,80625
14514,,101340,350.68,4530.2,68820
14739,94650,94650,450.78,4768.4,58014
14960,78980,78980,869.43,4959.8,42821
15539,,73242,677.69,5298.7,38916
16823,,89435,878.88,5763.1,51692
19935,,111970,936.3,6273.5,66317
25410,,125810,937.37,6849.7,69718
32060,,138640,2234.2,7847.5,74687
41773,192920,192920,5533.1,11309,97970
58913,273800,273800,3059.4,18167,116700
78483,,313860,2292.9,23857,113590
